"model_name","seed","training_status","training_dataset","num_training_samples","generation_strategy","prompt_type","explanation_type","response_type","response_format","evaluation_dataset","label_accuracy","misclassification_rate","combined_accuracy","malformed_label","malformed_domain","total_predictions","correct_predictions","conditional_accuracy","wrong_predictions","correct_label_and_domain","Constitutional_Law_accuracy","Contracts_accuracy","Criminal_Law_accuracy","Evidence_accuracy","Real_Property_accuracy","Torts_accuracy","Civil_Procedure_accuracy","correct_domain_wrong_label","correct_label_wrong_domain","both_wrong"
"llama3","seed_989","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","answer_first","json","test_set_1",0.45,0.55,0.42,0,10,99,45,0.45,55,42,0.43,0.29,0.54,0.47,0.5,0.62,0.19,47,3,7
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_06","few_shot","unstructured","answer_first","json","test_set_1",0.48,0.52,0.44,0,9,99,48,0.48,52,44,0.5,0.21,0.62,0.47,0.43,0.46,0.44,46,4,5
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_025","few_shot","structured","fact_first","json","test_set_1",0.53,0.47,0.46,0,10,99,52,0.52,48,46,0.71,0.43,0.62,0.33,0.5,0.46,0.25,43,6,4
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_06","zero_shot","structured","answer_first","json","test_set_1",0.34,0.66,0.29,0,14,99,34,0.34,66,29,0.21,0.43,0.38,0.07,0.21,0.46,0.31,56,5,9
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","fact_first","json","test_set_2",0.09,0.91,0.07,70,27,100,9,0.3,21,7,0,0.13,0.21,0.07,0,0.07,0,66,2,25
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_06","few_shot","unstructured","answer_first","json","test_set_1",0.38,0.62,0.35,0,10,99,38,0.38,62,35,0.21,0.36,0.46,0.2,0.36,0.31,0.56,54,3,7
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_06","few_shot","unstructured","fact_first","json","test_set_1",0.33,0.67,0.28,5,13,99,33,0.35,62,28,0.07,0.43,0.46,0.07,0.43,0.31,0.25,58,5,8
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_06","few_shot","unstructured","fact_first","json","test_set_1",0.54,0.46,0.49,6,6,99,53,0.56,41,49,0.5,0.43,0.85,0.47,0.5,0.38,0.38,44,4,2
"llama2","seed_989","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","answer_first","json","test_set_2",0.28,0.72,0,3,100,100,28,0.29,69,0,0,0,0,0,0,0,0,0,28,72
"llama3","seed_989","trained","all_domains_10_samples",10,"greedy","zero_shot","structured","answer_first","json","test_set_1",0.52,0.48,0.48,0,7,99,51,0.51,49,48,0.57,0.43,0.62,0.4,0.43,0.46,0.5,44,3,4
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","answer_first","json","test_set_2",0.27,0.73,0,4,100,100,27,0.28,69,0,0,0,0,0,0,0,0,0,27,73
