"model_name","seed","training_status","training_dataset","num_training_samples","generation_strategy","prompt_type","explanation_type","response_type","response_format","evaluation_dataset","label_accuracy","misclassification_rate","combined_accuracy","malformed_label","malformed_domain","total_predictions","correct_predictions","conditional_accuracy","wrong_predictions","correct_label_and_domain","Constitutional_Law_accuracy","Contracts_accuracy","Criminal_Law_accuracy","Evidence_accuracy","Real_Property_accuracy","Torts_accuracy","Civil_Procedure_accuracy","correct_domain_wrong_label","correct_label_wrong_domain","both_wrong"
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_025","zero_shot","unstructured","fact_first","number_list","test_set_1",0.57,0.43,0.55,0,5,99,56,0.56,44,54,0.57,0.36,0.69,0.67,0.64,0.38,0.5,40,2,3
"llama2","seed_989","trained","all_domains_10_samples",10,"temp_06","few_shot","unstructured","fact_first","number_list","test_set_2",0.32,0.68,0.27,2,12,100,32,0.33,66,27,0.36,0.53,0.29,0.27,0,0.29,0.15,61,5,7
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","structured","fact_first","markdown","test_set_2",0.56,0.44,0.46,0,16,100,56,0.56,44,46,0.79,0.4,0.21,0.33,0.47,0.5,0.54,38,10,6
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_025","zero_shot","structured","answer_first","markdown","test_set_2",0.32,0.68,0.28,0,10,100,32,0.32,68,28,0.43,0.33,0.36,0.33,0.13,0.21,0.15,62,4,6
"llama2","seed_989","trained","all_domains_20_samples",20,"greedy","few_shot","unstructured","answer_first","number_list","test_set_1",0.34,0.66,0.33,0,9,99,34,0.34,66,33,0.21,0.43,0.38,0.2,0.5,0.38,0.25,57,1,8
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_06","zero_shot","structured","fact_first","markdown","test_set_2",0.08,0.92,0,61,100,100,8,0.21,31,0,0,0,0,0,0,0,0,0,8,92
"llama2","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","answer_first","markdown","test_set_2",0.3,0.7,0.21,0,31,100,30,0.3,70,21,0.36,0.4,0.43,0.07,0.07,0,0.15,48,9,22
"llama2","seed_206","trained","all_domains_20_samples",20,"temp_06","few_shot","structured","answer_first","number_list","test_set_1",0.32,0.68,0.28,4,13,99,32,0.33,64,28,0.21,0.36,0.38,0.13,0.36,0.15,0.38,58,4,9
"llama2","seed_989","trained","all_domains_20_samples",20,"temp_025","zero_shot","structured","answer_first","number_list","test_set_1",0.35,0.65,0.33,0,9,99,35,0.35,65,33,0.14,0.43,0.23,0.33,0.43,0.38,0.38,57,2,7
"llama3","seed_989","trained","all_domains_20_samples",20,"temp_06","few_shot","unstructured","answer_first","number_list","test_set_1",0.53,0.47,0.47,1,8,99,52,0.53,47,47,0.5,0.29,0.54,0.67,0.5,0.46,0.38,44,5,3
"llama3","seed_989","trained","all_domains_10_samples",10,"temp_06","few_shot","unstructured","answer_first","markdown","test_set_2",0.61,0.39,0.56,0,8,100,61,0.61,39,56,0.57,0.33,0.79,0.4,0.4,0.93,0.54,36,5,3
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_025","zero_shot","structured","fact_first","number_list","test_set_1",0.53,0.47,0.23,1,48,99,52,0.53,47,23,0.14,0.29,0.23,0.6,0.07,0.15,0.13,28,29,19
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_06","few_shot","structured","fact_first","markdown","test_set_2",0.25,0.75,0.13,1,42,100,25,0.25,74,13,0.36,0.13,0.07,0.07,0,0.14,0.15,45,12,30
"llama2","seed_989","trained","all_domains_20_samples",20,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_1",0.39,0.61,0.38,0,11,99,39,0.39,61,38,0.21,0.43,0.38,0.27,0.43,0.38,0.56,50,1,10
"llama2","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","structured","fact_first","number_list","test_set_2",0.28,0.72,0.16,5,35,100,28,0.29,67,16,0.29,0.2,0.36,0,0.07,0.14,0.08,49,12,23
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_06","few_shot","unstructured","fact_first","number_list","test_set_1",0.47,0.53,0.45,2,3,99,47,0.48,51,45,0.43,0.29,0.69,0.53,0.57,0.38,0.31,51,2,1
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_025","zero_shot","structured","fact_first","markdown","test_set_2",0.58,0.42,0.48,0,16,100,58,0.58,42,48,0.57,0.47,0.43,0.4,0.4,0.71,0.38,36,10,6
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_06","zero_shot","unstructured","fact_first","markdown","test_set_2",0.52,0.48,0.43,6,18,100,52,0.55,42,43,0.5,0.33,0.43,0.53,0.27,0.64,0.31,39,9,9
"llama3","seed_989","trained","all_domains_20_samples",20,"temp_06","zero_shot","unstructured","answer_first","number_list","test_set_1",0.54,0.46,0.51,0,6,99,53,0.53,47,50,0.64,0.29,0.54,0.73,0.5,0.54,0.31,43,3,3
"llama2","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","answer_first","markdown","test_set_2",0.27,0.73,0.16,0,34,100,27,0.27,73,16,0.43,0.33,0.29,0,0.07,0,0,50,11,23
"llama2","seed_989","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","answer_first","markdown","test_set_2",0.3,0.7,0.27,0,15,100,30,0.3,70,27,0.43,0.33,0.14,0.4,0.27,0.14,0.15,58,3,12
"llama2","seed_206","trained","all_domains_20_samples",20,"temp_025","zero_shot","unstructured","fact_first","number_list","test_set_1",0.38,0.62,0.37,1,8,99,38,0.38,61,37,0.43,0.29,0.54,0.33,0.43,0.38,0.25,54,1,7
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_06","few_shot","unstructured","answer_first","number_list","test_set_2",0.25,0.75,0.17,0,34,100,25,0.25,75,17,0.14,0.2,0.43,0.13,0.2,0.07,0,49,8,26
"llama3","seed_989","trained","all_domains_10_samples",10,"temp_025","zero_shot","structured","answer_first","markdown","test_set_2",0.56,0.44,0.45,3,16,100,56,0.58,41,45,0.5,0.27,0.43,0.33,0.33,0.79,0.54,39,11,5
"llama3","seed_989","trained","all_domains_10_samples",10,"temp_025","zero_shot","unstructured","answer_first","markdown","test_set_2",0.52,0.48,0.43,0,12,100,52,0.52,48,43,0.5,0.27,0.29,0.47,0.4,0.64,0.46,45,9,3
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_06","zero_shot","structured","fact_first","markdown","test_set_2",0,1,0,100,100,100,0,"#DIV/0!",0,0,0,0,0,0,0,0,0,0,0,100
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_06","zero_shot","unstructured","fact_first","number_list","test_set_1",0.6,0.4,0.56,0,5,99,59,0.59,41,55,0.5,0.5,0.69,0.6,0.71,0.38,0.5,39,4,1
"llama2","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","structured","answer_first","markdown","test_set_2",0.29,0.71,0.19,0,33,100,29,0.29,71,19,0.36,0.33,0.29,0.07,0.07,0.14,0.08,48,10,23
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_06","few_shot","structured","fact_first","number_list","test_set_1",0.54,0.46,0.48,0,9,99,53,0.53,47,48,0.57,0.43,0.69,0.4,0.71,0.38,0.25,42,5,4
"llama3","seed_989","trained","all_domains_20_samples",20,"temp_06","few_shot","structured","answer_first","number_list","test_set_1",0.51,0.49,0.48,0,6,99,50,0.5,50,48,0.71,0.29,0.54,0.67,0.43,0.38,0.38,45,2,4
"llama2","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","fact_first","markdown","test_set_2",0.21,0.79,0.12,43,40,100,21,0.37,36,12,0.21,0.2,0.21,0.13,0,0.07,0,48,9,31
"llama3","seed_989","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","fact_first","markdown","test_set_2",0.61,0.39,0.53,1,12,100,61,0.62,38,53,0.71,0.4,0.64,0.47,0.27,0.64,0.62,35,8,4
"llama3","seed_989","trained","all_domains_20_samples",20,"temp_06","zero_shot","structured","answer_first","number_list","test_set_1",0.45,0.55,0.42,0,7,99,45,0.45,55,42,0.57,0.29,0.46,0.33,0.43,0.54,0.38,50,3,4
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_025","zero_shot","unstructured","fact_first","markdown","test_set_2",0.29,0.71,0.25,0,12,100,29,0.29,71,25,0.29,0.33,0.36,0.07,0.2,0.36,0.15,63,4,8
"llama3","seed_206","trained","all_domains_20_samples",20,"greedy","few_shot","unstructured","answer_first","number_list","test_set_2",0.56,0.44,0.51,1,11,100,56,0.57,43,51,0.5,0.27,0.5,0.6,0.4,0.79,0.54,38,5,6
"llama2","seed_206","trained","all_domains_20_samples",20,"temp_06","zero_shot","structured","fact_first","number_list","test_set_1",0.41,0.59,0.36,0,12,99,41,0.41,59,36,0.36,0.5,0.38,0.13,0.36,0.54,0.31,51,5,7
"llama2","seed_989","trained","all_domains_10_samples",10,"temp_025","few_shot","unstructured","answer_first","markdown","test_set_2",0.34,0.66,0.3,0,13,100,34,0.34,66,30,0.21,0.27,0.57,0.07,0.33,0.43,0.23,57,4,9
"llama2","seed_206","trained","all_domains_20_samples",20,"temp_025","few_shot","structured","fact_first","number_list","test_set_1",0.38,0.62,0.33,1,11,99,38,0.38,61,33,0.21,0.29,0.46,0.2,0.43,0.23,0.5,55,5,6
"llama2","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","answer_first","number_list","test_set_2",0.28,0.72,0.19,0,24,100,28,0.28,72,19,0.29,0.33,0.43,0,0,0.14,0.15,57,9,15
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_06","few_shot","structured","answer_first","number_list","test_set_2",0.3,0.7,0.25,0,17,100,30,0.3,70,25,0.21,0.33,0.29,0.33,0.07,0.29,0.23,58,5,12
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","structured","fact_first","markdown","test_set_2",0.34,0.66,0.29,0,12,100,34,0.34,66,29,0.36,0.33,0.29,0.27,0.13,0.36,0.31,59,5,7
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_06","few_shot","unstructured","fact_first","number_list","test_set_2",0.29,0.71,0.19,9,38,100,29,0.32,62,19,0.29,0.27,0.29,0.13,0,0.29,0.08,43,10,28
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_025","few_shot","structured","fact_first","markdown","test_set_2",0.56,0.44,0.45,0,15,100,56,0.56,44,45,0.71,0.27,0.21,0.47,0.47,0.57,0.46,40,11,4
"llama3","seed_989","trained","all_domains_20_samples",20,"greedy","few_shot","unstructured","fact_first","number_list","test_set_1",0.45,0.55,0.43,1,5,99,45,0.45,54,43,0.36,0.43,0.54,0.47,0.57,0.38,0.31,51,2,3
"llama2","seed_989","trained","all_domains_10_samples",10,"temp_06","few_shot","unstructured","fact_first","markdown","test_set_1",0.23,0.77,0.21,19,13,99,23,0.28,58,21,0.21,0.21,0.31,0.27,0.29,0.15,0.06,65,2,11
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_06","zero_shot","structured","fact_first","number_list","test_set_1",0.49,0.51,0.3,1,41,99,49,0.49,50,30,0.36,0.29,0.23,0.53,0.14,0.38,0.19,28,19,22
"llama3","seed_206","trained","all_domains_20_samples",20,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_2",0.55,0.45,0.5,0,7,100,55,0.55,45,50,0.5,0.2,0.64,0.47,0.53,0.57,0.62,43,5,2
"llama2","seed_989","trained","all_domains_20_samples",20,"temp_06","zero_shot","structured","answer_first","number_list","test_set_1",0.39,0.61,0.37,0,11,99,39,0.39,61,37,0.29,0.36,0.31,0.2,0.5,0.54,0.44,51,2,9
"llama3","seed_989","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","fact_first","markdown","test_set_2",0.47,0.53,0.4,4,16,100,47,0.49,49,40,0.57,0.2,0.29,0.4,0.33,0.57,0.46,44,7,9
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_06","zero_shot","structured","fact_first","markdown","test_set_2",0.51,0.49,0.42,0,17,100,51,0.51,49,42,0.43,0.4,0.29,0.33,0.47,0.71,0.31,41,9,8
"llama2","seed_206","trained","all_domains_20_samples",20,"temp_06","few_shot","unstructured","fact_first","number_list","test_set_1",0.28,0.72,0.27,2,6,99,28,0.29,70,27,0.14,0.29,0.15,0.4,0.43,0.15,0.31,66,1,5
"llama2","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","structured","fact_first","markdown","test_set_2",0.32,0.68,0.22,2,37,100,32,0.33,66,22,0.43,0.27,0.36,0.07,0.07,0.21,0.15,41,10,27
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_06","zero_shot","structured","answer_first","markdown","test_set_2",0.36,0.64,0.34,0,10,100,36,0.36,64,34,0.57,0.27,0.43,0.47,0.2,0.29,0.15,56,2,8
"llama2","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","fact_first","number_list","test_set_2",0.32,0.68,0.21,2,25,100,32,0.33,66,21,0.36,0.4,0.36,0.07,0,0.14,0.15,54,11,14
"llama3","seed_989","trained","all_domains_20_samples",20,"greedy","zero_shot","unstructured","fact_first","number_list","test_set_1",0.58,0.42,0.55,0,5,99,57,0.57,43,54,0.5,0.5,0.69,0.6,0.64,0.38,0.5,40,3,2
"llama2","seed_206","trained","all_domains_20_samples",20,"greedy","few_shot","structured","answer_first","markdown","test_set_1",0.37,0.63,0.34,0,8,99,37,0.37,63,34,0.21,0.5,0.38,0.2,0.43,0.23,0.44,57,3,5
"llama3","seed_989","trained","all_domains_10_samples",10,"temp_06","zero_shot","unstructured","answer_first","markdown","test_set_2",0.52,0.48,0.42,0,13,100,52,0.52,48,42,0.5,0.27,0.21,0.47,0.4,0.64,0.46,45,10,3
"llama3","seed_989","trained","all_domains_10_samples",10,"temp_06","zero_shot","structured","answer_first","markdown","test_set_2",0.56,0.44,0.46,2,15,100,56,0.57,42,46,0.5,0.27,0.43,0.4,0.33,0.79,0.54,39,10,5
"llama2","seed_989","trained","all_domains_20_samples",20,"temp_025","few_shot","unstructured","answer_first","number_list","test_set_1",0.36,0.64,0.33,0,9,99,36,0.36,64,33,0.21,0.43,0.38,0.13,0.5,0.38,0.31,57,3,6
"llama3","seed_989","trained","all_domains_10_samples",10,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_2",0.64,0.36,0.55,0,12,100,64,0.64,36,55,0.86,0.4,0.79,0.27,0.27,0.57,0.77,33,9,3
"llama2","seed_989","trained","all_domains_20_samples",20,"temp_025","zero_shot","unstructured","answer_first","number_list","test_set_1",0.38,0.62,0.36,0,10,99,38,0.38,62,36,0.14,0.43,0.38,0.2,0.43,0.38,0.56,53,2,8
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","answer_first","number_list","test_set_2",0.26,0.74,0.2,0,26,100,26,0.26,74,20,0.21,0.4,0.5,0,0.07,0.07,0.15,54,6,20
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_025","few_shot","unstructured","answer_first","number_list","test_set_2",0.56,0.44,0.51,1,10,100,56,0.57,43,51,0.5,0.27,0.5,0.6,0.4,0.79,0.54,39,5,5
"llama3","seed_206","trained","all_domains_20_samples",20,"greedy","few_shot","structured","answer_first","number_list","test_set_2",0.57,0.43,0.51,0,11,100,57,0.57,43,51,0.57,0.4,0.36,0.47,0.4,0.71,0.69,38,6,5
"llama2","seed_989","trained","all_domains_10_samples",10,"temp_025","zero_shot","unstructured","answer_first","markdown","test_set_2",0.29,0.71,0.26,0,16,100,29,0.29,71,26,0.43,0.4,0.14,0.27,0.2,0.21,0.15,58,3,13
"llama3","seed_989","trained","all_domains_20_samples",20,"greedy","few_shot","structured","fact_first","number_list","test_set_1",0.52,0.48,0.49,0,6,99,51,0.51,49,49,0.64,0.43,0.85,0.53,0.5,0.46,0.13,44,2,4
"llama2","seed_206","trained","all_domains_20_samples",20,"temp_06","zero_shot","unstructured","fact_first","number_list","test_set_1",0.33,0.67,0.32,1,10,99,33,0.33,66,32,0.07,0.29,0.54,0.4,0.36,0.54,0.13,57,1,9
"llama2","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","answer_first","markdown","test_set_2",0.28,0.72,0.17,0,30,100,28,0.28,72,17,0.36,0.33,0.29,0.07,0.07,0,0.08,53,11,19
"llama3","seed_206","trained","all_domains_20_samples",20,"greedy","zero_shot","structured","answer_first","number_list","test_set_2",0.59,0.41,0.53,0,9,100,59,0.59,41,53,0.36,0.47,0.64,0.33,0.47,0.71,0.77,38,6,3
"llama2","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","fact_first","markdown","test_set_2",0.15,0.85,0.09,42,34,100,15,0.26,43,9,0.07,0.27,0.14,0,0,0.07,0.08,57,6,28
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_06","few_shot","structured","fact_first","number_list","test_set_2",0.36,0.64,0.33,1,14,100,36,0.36,63,33,0.71,0.4,0.29,0.27,0.07,0.21,0.38,53,3,11
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","fact_first","number_list","test_set_2",0.19,0.81,0.14,35,25,100,19,0.29,46,14,0.21,0.2,0.14,0.13,0.07,0.07,0.15,61,5,20
"llama3","seed_989","trained","all_domains_20_samples",20,"temp_025","few_shot","unstructured","fact_first","number_list","test_set_1",0.45,0.55,0.43,1,4,99,45,0.45,54,43,0.5,0.36,0.54,0.47,0.43,0.46,0.31,52,2,2
"llama2","seed_989","trained","all_domains_20_samples",20,"greedy","zero_shot","structured","fact_first","number_list","test_set_1",0.33,0.67,0.28,0,11,99,33,0.33,67,28,0.29,0.29,0.38,0.07,0.36,0.31,0.31,60,5,6
"llama2","seed_989","trained","all_domains_10_samples",10,"temp_025","few_shot","structured","fact_first","markdown","test_set_1",0.29,0.71,0.25,5,12,99,29,0.31,66,25,0.21,0.36,0.23,0.13,0.43,0.15,0.25,62,4,8
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_025","few_shot","unstructured","answer_first","markdown","test_set_2",0.27,0.73,0.16,0,35,100,27,0.27,73,16,0.21,0.33,0.43,0,0,0,0.15,49,11,24
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_025","zero_shot","unstructured","answer_first","number_list","test_set_2",0.54,0.46,0.49,0,7,100,54,0.54,46,49,0.5,0.2,0.57,0.47,0.53,0.57,0.62,44,5,2
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_06","zero_shot","unstructured","fact_first","markdown","test_set_2",0.31,0.69,0.25,3,14,100,31,0.32,66,25,0.5,0.2,0.29,0.07,0.33,0.21,0.15,61,6,8
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","answer_first","number_list","test_set_2",0.29,0.71,0.2,4,31,100,29,0.3,67,20,0.36,0.27,0.57,0,0.07,0.07,0.08,49,9,22
"llama3","seed_989","trained","all_domains_10_samples",10,"temp_025","zero_shot","unstructured","fact_first","markdown","test_set_2",0.39,0.61,0.35,10,18,100,39,0.43,51,35,0.5,0.27,0.21,0.4,0.27,0.5,0.31,47,4,14
"llama3","seed_989","trained","all_domains_20_samples",20,"temp_025","zero_shot","unstructured","fact_first","number_list","test_set_1",0.58,0.42,0.54,2,5,99,57,0.58,41,53,0.43,0.43,0.69,0.6,0.71,0.38,0.5,41,4,1
"llama3","seed_989","trained","all_domains_20_samples",20,"greedy","zero_shot","structured","fact_first","number_list","test_set_1",0.53,0.47,0.27,0,46,99,52,0.52,48,27,0.29,0.36,0.15,0.6,0.14,0.15,0.19,26,25,21
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","answer_first","markdown","test_set_2",0.32,0.68,0.2,1,35,100,32,0.32,67,20,0.21,0.47,0.36,0.07,0.07,0.14,0.08,45,12,23
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_06","few_shot","structured","fact_first","markdown","test_set_2",0.58,0.42,0.46,0,16,100,58,0.58,42,46,0.71,0.4,0.21,0.33,0.47,0.64,0.46,38,12,4
"llama3","seed_989","trained","all_domains_10_samples",10,"greedy","zero_shot","structured","fact_first","markdown","test_set_2",0.53,0.47,0.45,0,16,100,53,0.53,47,45,0.36,0.47,0.43,0.27,0.4,0.79,0.46,39,8,8
"llama2","seed_989","trained","all_domains_20_samples",20,"greedy","few_shot","structured","answer_first","number_list","test_set_1",0.39,0.61,0.33,0,11,99,39,0.39,61,33,0.29,0.43,0.38,0.13,0.36,0.31,0.44,55,6,5
"llama3","seed_989","trained","all_domains_10_samples",10,"temp_06","few_shot","unstructured","fact_first","markdown","test_set_2",0.58,0.42,0.49,0,12,100,58,0.58,42,49,0.64,0.33,0.64,0.33,0.33,0.57,0.62,39,9,3
"llama2","seed_206","trained","all_domains_20_samples",20,"greedy","zero_shot","structured","answer_first","number_list","test_set_2",0.4,0.6,0.33,0,14,100,40,0.4,60,33,0.36,0.33,0.43,0.27,0.13,0.5,0.31,53,7,7
"llama2","seed_989","trained","all_domains_10_samples",10,"greedy","zero_shot","structured","answer_first","markdown","test_set_2",0.31,0.69,0.27,0,12,100,31,0.31,69,27,0.36,0.33,0.36,0.4,0.13,0.14,0.15,61,4,8
"llama2","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","fact_first","markdown","test_set_2",0.36,0.64,0.25,2,33,100,36,0.37,62,25,0.5,0.47,0.36,0.07,0.07,0.21,0.08,42,11,22
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_025","zero_shot","structured","fact_first","markdown","test_set_2",0.32,0.68,0.29,1,13,100,32,0.32,67,29,0.14,0.4,0.29,0.4,0.2,0.29,0.31,58,3,10
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","fact_first","number_list","test_set_2",0.35,0.65,0.22,6,36,100,35,0.37,59,22,0.36,0.2,0.57,0.07,0.07,0.14,0.15,42,13,23
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_06","few_shot","unstructured","answer_first","number_list","test_set_2",0.54,0.46,0.49,3,13,100,54,0.56,43,49,0.43,0.27,0.5,0.6,0.33,0.79,0.54,38,5,8
"llama2","seed_989","trained","all_domains_10_samples",10,"temp_06","few_shot","unstructured","answer_first","markdown","test_set_2",0.33,0.67,0.29,0,14,100,33,0.33,67,29,0.29,0.27,0.5,0.13,0.27,0.29,0.31,57,4,10
"llama3","seed_206","trained","all_domains_20_samples",20,"greedy","zero_shot","structured","answer_first","markdown","test_set_1",0.52,0.48,0.51,0,6,99,51,0.51,49,50,0.71,0.36,0.54,0.53,0.43,0.69,0.31,43,1,5
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","fact_first","markdown","test_set_2",0.21,0.79,0.17,13,12,100,21,0.24,66,17,0.29,0.2,0.36,0.07,0.13,0.07,0.08,71,4,8
"llama2","seed_989","trained","all_domains_20_samples",20,"greedy","zero_shot","unstructured","fact_first","number_list","test_set_1",0.42,0.58,0.41,1,9,99,42,0.42,57,41,0.36,0.43,0.54,0.4,0.36,0.38,0.44,49,1,8
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_025","zero_shot","structured","answer_first","number_list","test_set_2",0.58,0.42,0.51,0,10,100,58,0.58,42,51,0.36,0.47,0.57,0.33,0.4,0.71,0.77,39,7,3
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_025","few_shot","structured","answer_first","number_list","test_set_2",0.58,0.42,0.52,0,11,100,58,0.58,42,52,0.57,0.4,0.43,0.47,0.47,0.64,0.69,37,6,5
"llama3","seed_989","trained","all_domains_20_samples",20,"temp_025","few_shot","structured","fact_first","number_list","test_set_1",0.51,0.49,0.47,0,7,99,50,0.5,50,47,0.5,0.36,0.69,0.4,0.71,0.46,0.25,45,3,4
"llama2","seed_989","trained","all_domains_20_samples",20,"greedy","few_shot","unstructured","fact_first","number_list","test_set_1",0.29,0.71,0.27,7,6,99,29,0.31,64,27,0.21,0.29,0.54,0.07,0.43,0.23,0.19,66,2,4
"llama3","seed_989","trained","all_domains_20_samples",20,"temp_06","few_shot","unstructured","fact_first","number_list","test_set_1",0.48,0.52,0.46,2,4,99,48,0.49,50,46,0.5,0.5,0.54,0.53,0.5,0.38,0.31,49,2,2
"llama2","seed_989","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","fact_first","markdown","test_set_2",0.32,0.68,0.27,2,12,100,32,0.33,66,27,0.36,0.4,0.36,0.2,0.2,0.29,0.08,61,5,7
"llama2","seed_206","trained","all_domains_20_samples",20,"greedy","zero_shot","structured","answer_first","markdown","test_set_1",0.33,0.67,0.3,0,8,99,33,0.33,67,30,0.21,0.14,0.23,0.33,0.36,0.31,0.5,61,3,5
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_2",0.22,0.78,0.14,30,47,100,22,0.31,48,14,0.21,0.27,0.29,0.07,0,0.07,0.08,39,8,39
"llama3","seed_206","trained","all_domains_20_samples",20,"temp_06","zero_shot","unstructured","answer_first","number_list","test_set_2",0.54,0.46,0.5,0,6,100,54,0.54,46,50,0.5,0.2,0.57,0.53,0.53,0.57,0.62,44,4,2
"llama3","seed_989","trained","all_domains_20_samples",20,"temp_06","zero_shot","unstructured","fact_first","number_list","test_set_1",0.56,0.44,0.53,0,5,99,55,0.55,45,52,0.5,0.36,0.77,0.6,0.57,0.46,0.44,42,3,2
"llama2","seed_989","trained","all_domains_10_samples",10,"temp_06","zero_shot","unstructured","answer_first","markdown","test_set_2",0.28,0.72,0.23,0,14,100,28,0.28,72,23,0.5,0.33,0.14,0.27,0,0.21,0.15,63,5,9
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","answer_first","markdown","test_set_2",0.25,0.75,0.16,8,42,100,25,0.27,67,16,0.14,0.33,0.21,0.13,0.07,0.21,0,42,9,33
"llama2","seed_989","trained","all_domains_20_samples",20,"temp_06","few_shot","unstructured","answer_first","number_list","test_set_1",0.42,0.58,0.39,0,9,99,42,0.42,58,39,0.21,0.43,0.38,0.4,0.5,0.31,0.5,51,3,6
"llama3","seed_989","trained","all_domains_10_samples",10,"temp_06","zero_shot","unstructured","fact_first","markdown","test_set_2",0.54,0.46,0.46,7,17,100,54,0.58,39,46,0.43,0.47,0.43,0.53,0.27,0.64,0.46,37,8,9
"llama2","seed_989","trained","all_domains_20_samples",20,"temp_06","zero_shot","unstructured","answer_first","number_list","test_set_1",0.38,0.62,0.36,0,10,99,38,0.38,62,36,0,0.43,0.46,0.27,0.43,0.46,0.5,53,2,8
"llama3","seed_989","trained","all_domains_20_samples",20,"temp_025","zero_shot","structured","fact_first","number_list","test_set_1",0.53,0.47,0.26,0,47,99,52,0.52,48,26,0.21,0.29,0.23,0.6,0.14,0.23,0.13,26,26,21
"llama2","seed_206","trained","all_domains_20_samples",20,"temp_06","few_shot","structured","fact_first","number_list","test_set_1",0.37,0.63,0.32,3,11,99,37,0.38,60,32,0.29,0.36,0.38,0.33,0.29,0.15,0.44,56,5,6
"llama2","seed_989","trained","all_domains_10_samples",10,"greedy","few_shot","structured","answer_first","number_list","test_set_2",0.32,0.68,0.26,0,15,100,32,0.32,68,26,0.29,0.4,0.29,0.2,0.13,0.21,0.31,59,6,9
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_025","few_shot","structured","answer_first","number_list","test_set_2",0.27,0.73,0.19,0,24,100,27,0.27,73,19,0.14,0.13,0.57,0.07,0.2,0.14,0.08,57,8,16
"llama3","seed_989","trained","all_domains_10_samples",10,"temp_025","zero_shot","structured","fact_first","markdown","test_set_2",0.56,0.44,0.48,0,16,100,56,0.56,44,48,0.5,0.53,0.43,0.4,0.47,0.64,0.38,36,8,8
